n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,power_Accuracy_ANOVA,power_Precision_ANOVA,Duration
10,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1.0,0.21,0.91,0.31,0.0,0.0,685260 milliseconds
12,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1.0,0.2,1.0,0.25,0.0,0.03,1003966 milliseconds
14,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1.0,0.23,0.98,0.28,0.0,0.0,1160518 milliseconds
16,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1.0,0.22,1.0,0.29,0.0,0.0,1443755 milliseconds
18,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1.0,0.34,1.0,0.38,0.0,0.0,1589306 milliseconds
20,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1.0,0.33,1.0,0.34,0.0,0.0,1808751 milliseconds
10,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1.0,0.03,0.99,0.05,0.0,0.01,600001 milliseconds
12,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1.0,0.07,0.98,0.1,0.0,0.01,919530 milliseconds
14,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1.0,0.21,1.0,0.2,0.0,0.02,1090164 milliseconds
16,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1.0,0.15,1.0,0.07,0.0,0.01,1311558 milliseconds
18,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1.0,0.21,1.0,0.13,0.0,0.01,1439937 milliseconds
20,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1.0,0.23,1.0,0.11,0.0,0.01,1689547 milliseconds
10,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.2,0.2,1.0,0.09,0.97,0.11,0.0,0.0,617285 milliseconds
12,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.2,0.2,1.0,0.1,0.98,0.07,0.0,0.01,910163 milliseconds
14,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.2,0.2,0.99,0.12,1.0,0.07,0.0,0.0,1109459 milliseconds
16,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.2,0.2,1.0,0.11,1.0,0.09,0.0,0.01,1282469 milliseconds
18,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.2,0.2,1.0,0.12,1.0,0.04,0.0,0.01,1526687 milliseconds
20,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.2,0.2,1.0,0.18,1.0,0.03,0.0,0.03,1749155 milliseconds
10,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.2,0.2,0.99,0.04,0.94,0.05,0.0,0.0,635974 milliseconds
12,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.2,0.2,1.0,0.07,0.97,0.15,0.0,0.0,872154 milliseconds
14,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.2,0.2,1.0,0.16,0.98,0.13,0.0,0.02,1099614 milliseconds
