n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.19,1.0,0.3,375952 milliseconds
12,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.25,433629 milliseconds
14,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.45,1.0,0.4,516643 milliseconds
16,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.42,1.0,0.41,614981 milliseconds
18,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.41,1.0,0.33,680043 milliseconds
20,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.48,1.0,0.53,770016 milliseconds
10,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.11,340788 milliseconds
12,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.14,1.0,0.1,433025 milliseconds
14,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.18,1.0,0.15,514329 milliseconds
16,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.1,579865 milliseconds
18,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.16,660247 milliseconds
20,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.11,739488 milliseconds
10,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.06,344825 milliseconds
12,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.04,421013 milliseconds
14,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.1,513802 milliseconds
16,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.12,1.0,0.09,581018 milliseconds
18,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.09,672317 milliseconds
20,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.14,1.0,0.08,731457 milliseconds
10,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.1,330504 milliseconds
12,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.02,1.0,0.14,420734 milliseconds
14,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.01,1.0,0.13,486916 milliseconds
16,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.16,580850 milliseconds
18,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.19,665071 milliseconds
20,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.14,723167 milliseconds
10,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.24,325319 milliseconds
12,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.04,1.0,0.24,419134 milliseconds
14,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.04,1.0,0.27,501184 milliseconds
16,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.21,584632 milliseconds
18,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.34,647107 milliseconds
20,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.35,725987 milliseconds
10,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.96,0.2,0.77,0.27,336687 milliseconds
12,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.99,0.27,0.75,0.24,418711 milliseconds
14,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.31,0.93,0.39,501194 milliseconds
16,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.19,0.96,0.29,586712 milliseconds
18,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.26,0.99,0.35,672594 milliseconds
20,2,5,8,70,-0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.32,0.96,0.42,768365 milliseconds
10,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.99,0.1,0.71,0.09,334140 milliseconds
12,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.99,0.13,0.85,0.08,434665 milliseconds
14,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.13,0.9,0.11,499962 milliseconds
16,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.14,0.93,0.15,588446 milliseconds
18,2,5,8,70,-0.025,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,0.96,0.16,671508 milliseconds
