n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.23,1.0,0.3,801714 milliseconds
12,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.31,1.0,0.38,902812 milliseconds
14,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.33,1.0,0.37,1116528 milliseconds
16,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.36,1.0,0.49,1263111 milliseconds
18,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.48,1.0,0.52,1456161 milliseconds
20,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.52,1.0,0.54,1672919 milliseconds
10,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.11,764350 milliseconds
12,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.17,936330 milliseconds
14,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.15,1109121 milliseconds
16,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.18,1269103 milliseconds
18,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.14,1423358 milliseconds
20,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.19,1667813 milliseconds
10,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.08,722266 milliseconds
12,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.1,881187 milliseconds
14,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.05,1112253 milliseconds
16,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.08,1226588 milliseconds
18,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.01,1.0,0.05,1485658 milliseconds
20,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,1.0,0.04,1589089 milliseconds
10,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.06,777126 milliseconds
12,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.11,852357 milliseconds
14,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.1,1085531 milliseconds
16,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.08,1.0,0.12,1282316 milliseconds
18,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.13,1.0,0.18,1420930 milliseconds
20,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.12,1526333 milliseconds
